iter	Passed	Remaining
867	22196	3375
868	22219	3349
869	22239	3323
870	22261	3296
871	22285	3271
872	22313	3246
873	22335	3219
874	22362	3194
875	22388	3169
876	22414	3143
877	22435	3117
878	22457	3091
879	22482	3065
880	22510	3040
881	22532	3014
882	22552	2988
883	22574	2962
884	22599	2936
885	22625	2911
886	22645	2884
887	22668	2859
888	22693	2833
889	22719	2808
890	22741	2782
891	22762	2756
892	22786	2730
893	22811	2704
894	22838	2679
895	22858	2653
896	22887	2628
897	22912	2602
898	22937	2576
899	22958	2550
900	22978	2524
901	23002	2499
902	23028	2473
903	23052	2448
904	23073	2422
905	23096	2396
906	23122	2370
907	23149	2345
908	23170	2319
909	23192	2293
910	23217	2268
911	23243	2242
912	23273	2217
913	23300	2192
914	23326	2166
915	23358	2142
916	23388	2116
917	23418	2091
918	23448	2066
919	23480	2041
920	23512	2016
921	23544	1991
922	23578	1966
923	23605	1941
924	23636	1916
925	23668	1891
926	23730	1868
927	23769	1844
928	23804	1819
929	23831	1793
930	23859	1768
931	23897	1743
932	23933	1718
933	23969	1693
934	23998	1668
935	24025	1642
936	24049	1616
937	24075	1591
938	24103	1565
939	24131	1540
940	24158	1514
941	24186	1489
942	24210	1463
943	24232	1437
944	24254	1411
945	24283	1386
946	24314	1360
947	24344	1335
948	24375	1309
949	24404	1284
950	24431	1258
951	24459	1233
952	24488	1207
953	24514	1182
954	24544	1156
955	24574	1131
956	24604	1105
957	24631	1079
958	24658	1054
959	24690	1028
960	24720	1003
961	24748	977
962	24775	951
963	24799	926
964	24827	900
965	24853	874
966	24881	849
967	24910	823
968	24939	797
969	24966	772
970	24989	746
971	25012	720
972	25042	694
973	25072	669
974	25108	643
975	25139	618
976	25166	592
977	25192	566
978	25223	541
979	25251	515
980	25277	489
981	25303	463
982	25342	438
983	25372	412
984	25400	386
985	25427	361
986	25463	335
987	25496	309
988	25526	283
989	25553	258
990	25585	232
991	25613	206
992	25634	180
993	25655	154
994	25679	129
995	25705	103
996	25726	77
997	25747	51
998	25774	25
999	25802	0
